gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est
ENSG00000117834	SLC5A9	protein_coding	0.5	2088	42	0.219554797570365	0.139480495983428	0.138138477214425	0.0471759025295834	0.345267583645314	0.435716943036384	1.05598158927277e-06	0.437245522915654	0.232899287697368	5.39287260426277	0.191183647309784	6.93401153990343e-08	0.374492188583887	0.276411434413285	0.140244399310349	4.25906124179183	2.05287225940054e-05	0.00178972038035082
ENSG00000021852	C8B	protein_coding	0.5	3394	50	0.271898604888729	-0.049353255442178	0.153781243645436	0.00515845858142074	0.154939108815023	0.329539980580128	0.0355046951043471	0.267938345537767	0.155037700316565	3.02686623698419	0.0717909570095157	0.0024710327916092	0.279467780111354	0.185489415288898	0.0781022401203679	3.04156663011668	0.00235350470127702	0.186484184535321
ENSG00000134202	GSTM3	protein_coding	0.5	2487	19	0.30950258798393	0.221359895878562	0.0772864778171011	0.157119032177064	0.229556392735068	0.333163542952169	3.38484308481355e-07	0.495769756868754	0.117694950527912	5.98222452053356	0.245787651825704	2.20110577911033e-09	0.5103007516749	0.207195252123428	0.260406857159968	6.04545428634982	1.48989591480246e-09	3.40858616382733e-06
ENSG00000242042	LINC01743	lincRNA	0.5	4302	6	0.501377093919356	0.00817685471775929	0.0159528879806441	0.00158846466171841	0.0481905326687909	0.0479094285834502	0.0593795813071508	0.185197414617004	0.104891257559575	2.03299408356922	0.0342980823808226	0.042053120744044	0.191666954415206	0.289495471892813	0.0367362214148008	2.11865298154197	0.0341198046624671	0.146427016416916
ENSG00000233217	MROH3P	transcribed_unitary_pseudogene	0.5	3166	34	0.399717103648401	0.111409554143274	0.0850377172932134	0.0781374813115298	0.124109618573199	0.236427050591421	0.00012948051897989	0.410474079379297	0.106577854711344	4.7657593394371	0.168488969842281	1.88143722769539e-06	0.337498265350538	0.228816082208435	0.113905079114622	3.80023919914959	0.000144556484395184	0.0181013944676475
ENSG00000225087	AL583808.1	lincRNA	0.5	2790	35	0.338660369306398	-0.0115196392580602	0.317029703688577	0.10244000967564	0.10567777779415	0.197101458536708	0.00317502448046733	0.322471423253707	0.190586505005845	3.71870087438467	0.103987818815272	0.00020025001469761	0.329268113350981	0.166843350099845	0.108417490469715	3.59863145977579	0.000319896137100621	0.0612300211449317
ENSG00000227925	LINC01655	lincRNA	0.5	2350	77	0.149312695249341	-0.0132591992179182	0.0908282890313295	0.0111973235793895	0.329728474281153	0.458809921503099	0.28834749306471	0.180797166991698	0.150495481230746	2.01714970403618	0.0326876155922238	0.0436798929814354	0.363825494311468	0.219152557550231	0.132368990310984	4.06614875209062	4.77964343799625e-05	0.0101077641201569
ENSG00000134222	PSRC1	protein_coding	0.5	1980	17	0.313731571705923	0.0542773278596071	0.0575404211889298	0.110557702360563	0.149788676159893	0.272055613203156	0.0263817340043795	0.281016593466042	0.136022223366029	3.17480508128262	0.0789703258032587	0.00149937182397451	0.307470305793565	0.339248899838727	0.0945379889447881	3.70028283052154	0.000215359310987335	0.00161286772062265
ENSG00000143771	CNIH4	protein_coding	0.5	2290	26	0.381850147526733	-0.0120745016488481	0.0433094463524858	0.0186521267784679	0.111733410348973	0.0781826726222632	0.0625978992667926	0.236123128282808	0.180808361521679	2.68940045054348	0.0557541317100592	0.00715804933179085	0.284196757577803	0.372177659344932	0.0807677970177367	3.23868423031298	0.00120082439701373	0.00291046520687336
ENSG00000222009	BTBD19	protein_coding	0.5	2306	15	0.344911608667263	0.0142592497577244	0.048246706621663	-0.00635949330814457	0.115072653664044	0.113041895792039	0.023896101377186	0.265175436297956	0.173339045844535	3.05099158640111	0.0703180120158112	0.00228086966026426	0.227272057337179	0.25403068115684	0.0516525880462741	2.49308481832908	0.0126638590836453	0.205142929687469
