gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est	gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	LCL.R	LCL.R-squared	LCL.beta	LCL.tstat	LCL.pval	LCL.qval
ENSG00000002549	LAP3	protein_coding	0.5	3557	55	0.12540606427242	0.103463172587771	0.0369270426418148	0.124299155414557	0.0530799097881877	0.174892013124822	3.12081062221143e-18	0.328493026468336	0.0762739190955942	9.32018316797302	0.107907668438327	1.16139628795989e-20	0.3555099151429	0.0857773503256352	0.126387299764912	10.0727660266028	7.28985449068872e-24	6.83475980752261e-19	ENSG00000002549.8	LAP3	protein_coding	0.5	1653	28	0.139064072726092	0.0622703720132789	0.103517073041078	0.23543059951863	0.337002557896026	0.000779648891813516	0.434430134028642	0.141462856688074	4.28613013466239	0.188729541352144	1.81812508427905e-05	0.867159993127749	0.751966453681319	0.740769223387316	123.132429678485	0	0
ENSG00000003393	ALS2	protein_coding	0.5	2679	26	0.169577588915248	0.0781698011488418	0.0225224969323702	0.0792828387438008	0.0491177637039631	0.0930891021693666	1.03646910084365e-14	0.302506887146706	0.0411611163567867	8.49864161553391	0.0915104167711901	1.9182213086489e-17	0.30813508861994	0.0871765539820886	0.0949472328388182	8.63666507220761	5.78777476900993e-18	1.26227297388247e-13	ENSG00000003393.10	ALS2	protein_coding	0.5	1034	15	0.0680385148201779	0.328425871106147	0.205331815865115	0.136545601075438	0.279555893569205	0.000359675308026241	0.414351794511011	0.242573877886595	4.22105709594695	0.171687409614495	2.43159331899948e-05	0.969620097210274	0.940163132914061	1.39906859545718	280.314531617657	0	0
ENSG00000003509	NDUFAF7	protein_coding	0.5	4205	18	0.161976772236705	0.0203887848081695	0.0145782024176859	0.0267096841524787	0.0315720509440339	0.0633309356488638	0.000176054077392255	0.164509492809295	0.0697209950547892	4.53032390818304	0.0270633732243714	5.88933243038146e-06	0.175965745934243	0.113064711175048	0.0309639437421946	4.83602487958894	1.32461349708481e-06	0.000334972016694931	ENSG00000003509.11	NDUFAF7	protein_coding	0.5	1983	86	0.0528898176509061	0.184036871221059	0.195954905440379	0.188130734078617	0.789086321463725	0.0492368974636777	0.262674284059322	0.247223954657438	2.56903547958259	0.0689977795060774	0.0101982015583059	0.0896219095925265	0.00803208667901099	0.415704074002294	6.36346717651675	2.14860962660876e-10	2.27283935534829e-10
ENSG00000004534	RBM6	protein_coding	0.5	1840	11	0.153965150795704	0.0523551892081201	0.0279485789843642	0.050421019577186	0.0286340898397767	0.0641828461706448	4.30154024890287e-10	0.24393928111224	0.0871679653402663	6.81318015585624	0.0595063728695565	9.54644659087679e-12	0.257079848460636	0.0967382833274885	0.0660900484845438	7.15045885991339	8.64883008439024e-13	2.99693419467985e-09	ENSG00000004534.10	RBM6	protein_coding	0.5	803	39	-0.00725779478340161	0.109360698995937	0.0902784566517279	0.311330618769142	0.350808888481	0.124698478992919	0.286929363481493	0.0957524632248371	2.66553914678244	0.0823284596278949	0.00768649820410133	0.863222256667152	0.745152664405531	1.99088124546558	120.923583258265	0	0
ENSG00000005156	LIG3	protein_coding	0.5	3640	31	0.158463768007819	0.0220020870437881	0.0117181563717258	0.0284588082370299	0.0210421412341751	0.0830845069014556	9.07372830981034e-05	0.176240519266301	0.0399385341332359	4.8452381046622	0.0310607206312554	1.26459925638788e-06	0.177206396141234	0.0592588993424	0.031402106833364	4.83412185836462	1.33734651023917e-06	0.00176502981472584	ENSG00000005156.7	LIG3	protein_coding	0.5	1665	26	0.110323759943039	0.279188780636022	0.139430355311254	0.158503908923258	0.32199804426899	8.15418983154978e-06	0.451911721508155	0.323938852554058	4.77640157707786	0.204224204036464	1.78459837339899e-06	0.685585515555831	0.470027499139955	1.27117329322602	66.5983382873543	0	0
ENSG00000005801	ZNF195	protein_coding	0.5	3910	35	0.160904720990994	0.0454031090956309	0.0164929412529186	0.0519682152961488	0.0277819716095984	0.0861986621809662	1.21731626702915e-07	0.221526159352226	0.0439803448453243	6.12972304594977	0.0490738392773476	8.80321803943237e-10	0.237043385634445	0.0808566813499298	0.0561895666730401	6.54083592000159	6.11759209357915e-11	2.70990657769124e-07	ENSG00000005801.12	ZNF195	protein_coding	0.5	1391	8	0.0197094239969056	0.0864534091487133	0.065488568929964	0.0972721235366474	0.101695326339963	0.11136960767727	0.212225565017189	0.263340450480661	2.04054834858537	0.045039690446865	0.041295740655529	0.911208410373493	0.830300767135388	0.813699406490808	156.42501573258	0	0
ENSG00000006282	SPATA20	protein_coding	0.5	2920	39	0.0611964597056962	0.76061363546383	0.00942096870407803	0.760914910849381	0.0482103617019861	0.781106280400347	7.43820310487257e-231	0.874955067989178	0.0039821331753334	36.7834267794754	0.765546370999948	3.39861583765384e-296	0.875007432213733	0.0301276758074828	0.765638006429271	36.7626347649427	7.30470173406363e-296	1.87811356688053e-226	ENSG00000006282.15	SPATA20	protein_coding	0.5	1219	21	0.601394541394813	0.0919526969776584	0.555102411414859	0.354408823363845	0.775604312690092	3.37195337046013e-18	0.796703479434359	0.0734206279453689	10.0562002433639	0.634736434142814	8.62637693473589e-24	0.977874169168112	0.956237890726226	0.743148490276594	330.569117535361	0	0
ENSG00000006607	FARP2	protein_coding	0.5	2313	36	0.112470785931155	0.0224691230102462	0.0508160210545878	0.0266098914417736	0.0545010780720789	0.10457989843069	3.36686317599238e-07	0.195203427664233	0.119695649776175	5.42070521532537	0.0381043781718655	5.93643814935363e-08	0.188994701505239	0.119565227274576	0.0357189971970545	5.22203825641913	1.76964397152824e-07	3.93987978295076e-05	ENSG00000006607.9	FARP2	protein_coding	0.5	931	14	0.0661472716085565	0.153300561876284	0.0916660813865541	0.148638132197377	0.336902712484927	0.0508733507343231	0.27326998497686	0.243028949588453	2.66517432392187	0.0746764846892533	0.00769484232611185	0.423535739538262	0.179382522666223	0.644037649302598	33.0634455680643	5.42100277959224e-217	6.88313444411948e-217
ENSG00000006704	GTF2IRD1	protein_coding	0.5	1549	19	0.136346388809516	0.00890850249960202	0.00937392484343155	0.0143308053288268	0.0280854924029847	0.0476782552291996	0.0453377851393044	0.108875029004225	0.0572967898484771	2.97679825745782	0.0118537719406708	0.00291275609551606	0.1312113549306	0.113980895277103	0.0172164196627239	3.5915761527358	0.000328684101251494	0.0166609331076373	ENSG00000006704.6	GTF2IRD1	protein_coding	0.5	444	5	0.0469770066601376	0.0697281648813573	0.0417541996430873	0.105586484317306	0.137202531048821	0.00358465726221353	0.311587111165991	0.288498629409177	3.14942485325049	0.0970865278447677	0.00163592175614645	-0.3264028205075	0.106538801235251	-0.396748134481199	-24.4199337749846	1.59474292130754e-124	1.89766156933122e-124
ENSG00000006740	ARHGAP44	protein_coding	0.5	4948	15	0.207344979582159	0.0341869999011032	0.0162456891179862	0.034584586587337	0.0124037364417472	0.0489428102726296	3.7852702203735e-08	0.221991037123863	0.0772484183791189	6.16385189922775	0.0492800205633285	7.09963488314929e-10	0.220982707746818	0.0530619597840119	0.0488333571231157	6.05923682618614	1.36768899434259e-09	8.50582557306458e-06	ENSG00000006740.12	ARHGAP44	protein_coding	0.5	2004	4	0.00169947679051681	0.163159804163393	0.0406256156679459	0.11140076564956	0.105280718990694	0.0113134061076991	0.297351245256887	0.271546626333441	2.93911851711982	0.0884177630558212	0.00329147184950055	0.837131756832926	0.700789578298181	0.908270852959737	108.226567961075	0	0
