ENSG_ID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	STRAND	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	bon	se	var
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	protein_coding	20	50934867	50958555	-1	0.5	3208	4	0.473104185209024	-0.0108527108514503	0.063941932667604	0.00869961986289927	0.0834755546670701	0.0663802584312909	0.058393821000714	0.245063076428975	0.164886197543824	2.76897486546169	0.0600559114288336	0.00562329731262429	0.212846636362617	0.248450713758572	0.0453036906108799	2.30705447247048	0.021051783573775	0.276205210445847	-0.000150049048410216	-0.00396432928362323	0.00366423118680279	-0.00256604255750049	-0.0771191322188983	0.938531513921792	0.998628412486197	-8.17530023309357	1	0.00194533984263348	0.0155917274991425
ENSG00000002726	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	protein_coding	7	150824627	150861504	1	0.5	3447	76	0.173597138911946	0.134985618092218	0.185961404133416	0.190956682605023	0.209759337754431	0.633388324967409	7.54540887106941e-06	0.447634481610436	0.146422403622043	5.314533430324	0.200376629126643	1.06930950705487e-07	0.455523871222538	0.224569153651456	0.207501997253567	5.32082030864717	1.03300397122146e-07	7.69266041493099e-05	0.00880249309102139	-0.00789610206228942	0.0255010882443322	-0.708507515907286	1.03339711670658	0.301462492269783	0.998628412486197	-7.63317785247484	1	0.00851919308518463	0.292205644971055
ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	protein_coding	7	150800403	150805120	1	0.5	3323	7	0.466476620302552	0.0297443777778335	0.0278249939139724	0.0306689550028964	0.053547679109751	0.0668657036794779	0.0752458204865206	0.249905053607511	0.12782071507944	2.79782248758532	0.0624525358185728	0.00514483792402576	0.327690434201578	0.225363589745149	0.107381020667219	3.63039008707642	0.000282993197166342	0.0374090466888517	0.000449587091240816	-0.0049916496623927	0.00589082384487434	-0.257189056824479	0.161978621423089	0.871328503055901	0.998628412486197	-8.16825950053035	1	0.00277559658647319	0.0319380967524177
ENSG00000003249	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	protein_coding	16	90004865	90020128	-1	0.5	1779	7	0.353399652843941	0.040934831239282	0.112742403114143	0.0891875977980382	0.100645861546044	0.165333358622001	0.00764894605822908	0.299757383577484	0.187610456762434	3.43956662024513	0.089854489009219	0.000582646364574862	0.322823507634547	0.237273725924318	0.104215017081472	3.62591806496622	0.000287936648522511	0.0258175795353441	-0.00188087413472753	-0.00665889344448281	0.00289714517502775	-0.0585954877503665	-0.771708566837652	0.440319451643235	0.998628412486197	-7.84568896218131	1	0.00243713375901983	0.0228147004787983
ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	protein_coding	2	187464230	187565760	-1	0.5	2388	21	0.261756957147387	-0.00405435568651578	0.381757539591414	0.103113901353149	0.233036325893547	0.29079349042314	3.89086944727059e-05	0.266588298078156	0.396881275345118	3.27231504575375	0.0710693206722076	0.00106670639609429	0.465036859530614	0.242827662399287	0.216259280722096	5.53905050469893	3.04115940045006e-08	2.01675554932157e-05	-0.00369836124511601	-0.0126991569928154	0.00530243450258341	-0.345500474065886	-0.80550809875641	0.420560560453582	0.998628412486197	-7.83513533482031	1	0.00459178061405477	0.0836381827627956
ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	protein_coding	2	37231631	37253403	1	0.5	3475	17	0.387171410613953	0.0482947526567514	0.0233473882199541	0.0866897400165024	0.0680022116871746	0.182847338581689	0.0389891539820118	0.284938858083919	0.0665292262215312	3.17943885059704	0.0811901528461679	0.0014756049986853	0.33895364693264	0.171958953167564	0.114889574768937	3.68020869925545	0.000233043144391111	0.0510496509143717	-0.0047642393205764	-0.0106520386968647	0.00112356005571194	0.297218978456302	-1.58628805587801	0.112730152120674	0.966059930867477	-6.91358694280556	1	0.00300344917332734	0.0366066179893349
ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	protein_coding	3	49940007	50100045	1	0.5	1682	17	0.248421978043302	0.0424136061195914	0.101784483257863	0.0435289981199515	0.205165688649739	0.166670141539133	0.211176965508791	0.180709388353212	0.179246721743107	2.06181973858109	0.032655883038992	0.0392249011151039	0.268678061603769	0.227759261142368	0.0721879007871587	2.9215056978228	0.00348343903860349	0.154521076565787	0.00106577400456659	-0.00622162711866574	0.00835317512779893	0.21139709703111	0.28670412148069	0.77434943390499	0.998628412486197	-8.12948111456325	1	0.00371757972741043	0.0560681272486608
ENSG00000004809	SLC22A16	solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	protein_coding	6	110424687	110476641	-1	0.5	2453	9	0.350473054470378	0.412798868899068	0.195552140381724	0.471121367997253	0.198929222921916	0.492535996374576	5.38831177221683e-18	0.687983472702607	0.129199889938477	9.63950620333353	0.473321258711938	5.44492621326659e-22	0.72621378462729	0.138915834132889	0.527386460982692	9.92563879417229	3.2203401849392e-23	1.07252020279955e-16	0.000632719096216211	-0.00302462307585294	0.00429006126828536	-2.01902778248041	0.339146105422588	0.734512318719599	0.998628412486197	-7.98259375932111	1	0.00186501881840041	0.0108669791406546
ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	protein_coding	16	20610243	20797581	1	0.5	2384	46	0.414440822598317	0.0879665493870012	0.0275930533174679	0.0893961570757998	0.111603584415856	0.131768750374357	0.000201943101050258	0.394194500359133	0.137164343220043	4.5909201823355	0.155389304113386	4.4129608745465e-06	0.365896092983605	0.284772135162646	0.133879950860667	4.302907824983	1.68570992967158e-05	0.00111972265565152	-0.00225509369219332	-0.00960955653736515	0.0050993691529785	0.43618271011146	-0.601111615664447	0.547789852692564	0.998628412486197	-7.99301772293791	1	0.0037517984069068	0.0574507258661788
ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	protein_coding	7	87345681	87399795	1	0.5	2130	15	0.355086944312223	0.146951248487853	0.10181837531204	0.0266418383143333	0.155600187216904	0.20079478169003	0.000137450700852432	0.39413061127495	0.145024396145069	4.63467336325345	0.155338938743965	3.57501521139458e-06	0.294539594937451	0.273389819184325	0.0867535729859174	3.34398804904001	0.00082583294876946	0.028830530413115	-0.000841475919785016	-0.0089367774495204	0.00725382560995037	0.453801643672481	-0.203774647679086	0.838536971864829	0.998628412486197	-8.13590674721786	1	0.00412978103287667	0.0672925002297009
