GENE	REF1	REF2	CORR
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Adipose_Visceral_Omentum	0.7228
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Artery_Aorta	0.6248
ENSG00000028528.10:SNX1	Adipose_Visceral_Omentum	Artery_Aorta	0.6636
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Artery_Tibial	0.7798
ENSG00000028528.10:SNX1	Adipose_Visceral_Omentum	Artery_Tibial	0.9203
ENSG00000028528.10:SNX1	Artery_Aorta	Artery_Tibial	0.7726
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Breast_Mammary_Tissue	0.7433
ENSG00000028528.10:SNX1	Adipose_Visceral_Omentum	Breast_Mammary_Tissue	0.8939
ENSG00000028528.10:SNX1	Artery_Aorta	Breast_Mammary_Tissue	0.7936
ENSG00000028528.10:SNX1	Artery_Tibial	Breast_Mammary_Tissue	0.9433
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Cells_EBV-transformed_lymphocytes	0.5881
ENSG00000028528.10:SNX1	Adipose_Visceral_Omentum	Cells_EBV-transformed_lymphocytes	0.7365
ENSG00000028528.10:SNX1	Artery_Aorta	Cells_EBV-transformed_lymphocytes	0.7734
ENSG00000028528.10:SNX1	Artery_Tibial	Cells_EBV-transformed_lymphocytes	0.7644
ENSG00000028528.10:SNX1	Breast_Mammary_Tissue	Cells_EBV-transformed_lymphocytes	0.7766
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Esophagus_Mucosa	0.8363
ENSG00000028528.10:SNX1	Adipose_Visceral_Omentum	Esophagus_Mucosa	0.8699
ENSG00000028528.10:SNX1	Artery_Aorta	Esophagus_Mucosa	0.7579
ENSG00000028528.10:SNX1	Artery_Tibial	Esophagus_Mucosa	0.9451
ENSG00000028528.10:SNX1	Breast_Mammary_Tissue	Esophagus_Mucosa	0.8921
ENSG00000028528.10:SNX1	Cells_EBV-transformed_lymphocytes	Esophagus_Mucosa	0.7842
ENSG00000028528.10:SNX1	Adipose_Subcutaneous	Skin_Sun_Exposed_Lower_leg	0.8398
ENSG00000028528.10:SNX1	Adipose_Visceral_Omentum	Skin_Sun_Exposed_Lower_leg	0.8326
ENSG00000028528.10:SNX1	Artery_Aorta	Skin_Sun_Exposed_Lower_leg	0.7019
ENSG00000028528.10:SNX1	Artery_Tibial	Skin_Sun_Exposed_Lower_leg	0.8861
ENSG00000028528.10:SNX1	Breast_Mammary_Tissue	Skin_Sun_Exposed_Lower_leg	0.8774
ENSG00000028528.10:SNX1	Cells_EBV-transformed_lymphocytes	Skin_Sun_Exposed_Lower_leg	0.7029
ENSG00000028528.10:SNX1	Esophagus_Mucosa	Skin_Sun_Exposed_Lower_leg	0.8760
