GENE	REF1	REF2	CORR
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Amygdala	0.3732
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Anterior_cingulate_cortex_BA24	0.5226
ENSG00000060491.12:OGFR	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	0.5776
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Caudate_basal_ganglia	0.8344
ENSG00000060491.12:OGFR	Brain_Amygdala	Brain_Caudate_basal_ganglia	0.5401
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	0.6215
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Cerebellum	0.9295
ENSG00000060491.12:OGFR	Brain_Amygdala	Brain_Cerebellum	0.3086
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Brain_Cerebellum	0.5163
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Brain_Cerebellum	0.8115
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Cortex	0.6891
ENSG00000060491.12:OGFR	Brain_Amygdala	Brain_Cortex	0.2767
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Brain_Cortex	0.4456
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Brain_Cortex	0.6108
ENSG00000060491.12:OGFR	Brain_Cerebellum	Brain_Cortex	0.7119
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Hypothalamus	0.6149
ENSG00000060491.12:OGFR	Brain_Amygdala	Brain_Hypothalamus	0.3461
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Brain_Hypothalamus	0.4089
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Brain_Hypothalamus	0.6226
ENSG00000060491.12:OGFR	Brain_Cerebellum	Brain_Hypothalamus	0.5904
ENSG00000060491.12:OGFR	Brain_Cortex	Brain_Hypothalamus	0.5146
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Brain_Nucleus_accumbens_basal_ganglia	0.9104
ENSG00000060491.12:OGFR	Brain_Amygdala	Brain_Nucleus_accumbens_basal_ganglia	0.5545
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Brain_Nucleus_accumbens_basal_ganglia	0.6002
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Brain_Nucleus_accumbens_basal_ganglia	0.8313
ENSG00000060491.12:OGFR	Brain_Cerebellum	Brain_Nucleus_accumbens_basal_ganglia	0.8100
ENSG00000060491.12:OGFR	Brain_Cortex	Brain_Nucleus_accumbens_basal_ganglia	0.6184
ENSG00000060491.12:OGFR	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	0.5894
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Cells_Transformed_fibroblasts	0.7035
ENSG00000060491.12:OGFR	Brain_Amygdala	Cells_Transformed_fibroblasts	0.0756
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Cells_Transformed_fibroblasts	0.3663
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Cells_Transformed_fibroblasts	0.5752
ENSG00000060491.12:OGFR	Brain_Cerebellum	Cells_Transformed_fibroblasts	0.7934
ENSG00000060491.12:OGFR	Brain_Cortex	Cells_Transformed_fibroblasts	0.5816
ENSG00000060491.12:OGFR	Brain_Hypothalamus	Cells_Transformed_fibroblasts	0.4494
ENSG00000060491.12:OGFR	Brain_Nucleus_accumbens_basal_ganglia	Cells_Transformed_fibroblasts	0.5326
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Colon_Transverse	0.9003
ENSG00000060491.12:OGFR	Brain_Amygdala	Colon_Transverse	0.2825
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Colon_Transverse	0.5165
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Colon_Transverse	0.7763
ENSG00000060491.12:OGFR	Brain_Cerebellum	Colon_Transverse	0.9298
ENSG00000060491.12:OGFR	Brain_Cortex	Colon_Transverse	0.7384
ENSG00000060491.12:OGFR	Brain_Hypothalamus	Colon_Transverse	0.6244
ENSG00000060491.12:OGFR	Brain_Nucleus_accumbens_basal_ganglia	Colon_Transverse	0.7846
ENSG00000060491.12:OGFR	Cells_Transformed_fibroblasts	Colon_Transverse	0.7744
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Esophagus_Mucosa	0.8523
ENSG00000060491.12:OGFR	Brain_Amygdala	Esophagus_Mucosa	0.4149
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Esophagus_Mucosa	0.5613
ENSG00000060491.12:OGFR	Brain_Caudate_basal_ganglia	Esophagus_Mucosa	0.7320
ENSG00000060491.12:OGFR	Brain_Cerebellum	Esophagus_Mucosa	0.8099
ENSG00000060491.12:OGFR	Brain_Cortex	Esophagus_Mucosa	0.6555
ENSG00000060491.12:OGFR	Brain_Hypothalamus	Esophagus_Mucosa	0.6452
ENSG00000060491.12:OGFR	Brain_Nucleus_accumbens_basal_ganglia	Esophagus_Mucosa	0.8243
ENSG00000060491.12:OGFR	Cells_Transformed_fibroblasts	Esophagus_Mucosa	0.6024
ENSG00000060491.12:OGFR	Colon_Transverse	Esophagus_Mucosa	0.7780
ENSG00000060491.12:OGFR	Adipose_Visceral_Omentum	Esophagus_Muscularis	0.8623
ENSG00000060491.12:OGFR	Brain_Amygdala	Esophagus_Muscularis	0.2864
ENSG00000060491.12:OGFR	Brain_Anterior_cingulate_cortex_BA24	Esophagus_Muscularis	0.4873
