GENE	REF1	REF2	CORR
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Adrenal_Gland	 0.56896
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Artery_Tibial	 0.58730
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Artery_Tibial	 0.58547
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Breast_Mammary_Tissue	 0.41224
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Breast_Mammary_Tissue	 0.49188
ENSG00000003249.9:DBNDD1	Artery_Tibial	Breast_Mammary_Tissue	 0.47869
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Cells_Transformed_fibroblasts	 0.64880
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Cells_Transformed_fibroblasts	 0.81004
ENSG00000003249.9:DBNDD1	Artery_Tibial	Cells_Transformed_fibroblasts	 0.74854
ENSG00000003249.9:DBNDD1	Breast_Mammary_Tissue	Cells_Transformed_fibroblasts	 0.63816
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Colon_Sigmoid	 0.54066
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Colon_Sigmoid	 0.66103
ENSG00000003249.9:DBNDD1	Artery_Tibial	Colon_Sigmoid	 0.83225
ENSG00000003249.9:DBNDD1	Breast_Mammary_Tissue	Colon_Sigmoid	 0.54287
ENSG00000003249.9:DBNDD1	Cells_Transformed_fibroblasts	Colon_Sigmoid	 0.79382
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Esophagus_Mucosa	-0.02525
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Esophagus_Mucosa	 0.14785
ENSG00000003249.9:DBNDD1	Artery_Tibial	Esophagus_Mucosa	-0.05150
ENSG00000003249.9:DBNDD1	Breast_Mammary_Tissue	Esophagus_Mucosa	 0.45278
ENSG00000003249.9:DBNDD1	Cells_Transformed_fibroblasts	Esophagus_Mucosa	 0.14011
ENSG00000003249.9:DBNDD1	Colon_Sigmoid	Esophagus_Mucosa	 0.05434
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Esophagus_Muscularis	 0.59499
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Esophagus_Muscularis	 0.66728
ENSG00000003249.9:DBNDD1	Artery_Tibial	Esophagus_Muscularis	 0.82730
ENSG00000003249.9:DBNDD1	Breast_Mammary_Tissue	Esophagus_Muscularis	 0.36704
ENSG00000003249.9:DBNDD1	Cells_Transformed_fibroblasts	Esophagus_Muscularis	 0.73926
ENSG00000003249.9:DBNDD1	Colon_Sigmoid	Esophagus_Muscularis	 0.75730
ENSG00000003249.9:DBNDD1	Esophagus_Mucosa	Esophagus_Muscularis	 0.05663
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Heart_Left_Ventricle	 0.68702
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Heart_Left_Ventricle	 0.77057
ENSG00000003249.9:DBNDD1	Artery_Tibial	Heart_Left_Ventricle	 0.79942
ENSG00000003249.9:DBNDD1	Breast_Mammary_Tissue	Heart_Left_Ventricle	 0.56065
ENSG00000003249.9:DBNDD1	Cells_Transformed_fibroblasts	Heart_Left_Ventricle	 0.92736
ENSG00000003249.9:DBNDD1	Colon_Sigmoid	Heart_Left_Ventricle	 0.82200
ENSG00000003249.9:DBNDD1	Esophagus_Mucosa	Heart_Left_Ventricle	 0.07964
ENSG00000003249.9:DBNDD1	Esophagus_Muscularis	Heart_Left_Ventricle	 0.78775
ENSG00000003249.9:DBNDD1	Adipose_Subcutaneous	Lung	 0.40223
ENSG00000003249.9:DBNDD1	Adrenal_Gland	Lung	 0.75248
ENSG00000003249.9:DBNDD1	Artery_Tibial	Lung	 0.59751
ENSG00000003249.9:DBNDD1	Breast_Mammary_Tissue	Lung	 0.63939
ENSG00000003249.9:DBNDD1	Cells_Transformed_fibroblasts	Lung	 0.84915
ENSG00000003249.9:DBNDD1	Colon_Sigmoid	Lung	 0.71834
