GENE	REF1	REF2	CORR
ENSG00000001617.7:SEMA3F	Adipose_Subcutaneous	Adipose_Visceral_Omentum	 0.769
ENSG00000001617.7:SEMA3F	Adipose_Subcutaneous	Artery_Aorta	-0.579
ENSG00000001617.7:SEMA3F	Adipose_Visceral_Omentum	Artery_Aorta	-0.680
ENSG00000001617.7:SEMA3F	Adipose_Subcutaneous	Heart_Atrial_Appendage	 0.659
ENSG00000001617.7:SEMA3F	Adipose_Visceral_Omentum	Heart_Atrial_Appendage	 0.804
ENSG00000001617.7:SEMA3F	Artery_Aorta	Heart_Atrial_Appendage	-0.642
ENSG00000001617.7:SEMA3F	Adipose_Subcutaneous	Heart_Left_Ventricle	 0.672
ENSG00000001617.7:SEMA3F	Adipose_Visceral_Omentum	Heart_Left_Ventricle	 0.756
ENSG00000001617.7:SEMA3F	Artery_Aorta	Heart_Left_Ventricle	-0.714
ENSG00000001617.7:SEMA3F	Heart_Atrial_Appendage	Heart_Left_Ventricle	 0.814
ENSG00000001617.7:SEMA3F	Adipose_Subcutaneous	Nerve_Tibial	 0.643
ENSG00000001617.7:SEMA3F	Adipose_Visceral_Omentum	Nerve_Tibial	 0.591
ENSG00000001617.7:SEMA3F	Artery_Aorta	Nerve_Tibial	-0.405
ENSG00000001617.7:SEMA3F	Heart_Atrial_Appendage	Nerve_Tibial	 0.585
ENSG00000001617.7:SEMA3F	Heart_Left_Ventricle	Nerve_Tibial	 0.645
ENSG00000004534.10:RBM6	Brain_Amygdala	Brain_Caudate_basal_ganglia	0.891
ENSG00000004534.10:RBM6	Brain_Amygdala	Brain_Cerebellar_Hemisphere	0.884
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	0.902
ENSG00000004534.10:RBM6	Brain_Amygdala	Brain_Frontal_Cortex_BA9	0.708
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Brain_Frontal_Cortex_BA9	0.856
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Brain_Frontal_Cortex_BA9	0.868
ENSG00000004534.10:RBM6	Brain_Amygdala	Brain_Spinal_cord_cervical_c-1	0.778
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Brain_Spinal_cord_cervical_c-1	0.883
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Brain_Spinal_cord_cervical_c-1	0.887
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Brain_Spinal_cord_cervical_c-1	0.869
ENSG00000004534.10:RBM6	Brain_Amygdala	Brain_Substantia_nigra	0.825
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Brain_Substantia_nigra	0.876
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Brain_Substantia_nigra	0.892
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Brain_Substantia_nigra	0.875
ENSG00000004534.10:RBM6	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	0.858
ENSG00000004534.10:RBM6	Brain_Amygdala	Cells_EBV-transformed_lymphocytes	0.777
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Cells_EBV-transformed_lymphocytes	0.753
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Cells_EBV-transformed_lymphocytes	0.878
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Cells_EBV-transformed_lymphocytes	0.832
ENSG00000004534.10:RBM6	Brain_Spinal_cord_cervical_c-1	Cells_EBV-transformed_lymphocytes	0.799
ENSG00000004534.10:RBM6	Brain_Substantia_nigra	Cells_EBV-transformed_lymphocytes	0.776
ENSG00000004534.10:RBM6	Brain_Amygdala	Liver	0.758
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Liver	0.819
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Liver	0.879
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Liver	0.948
ENSG00000004534.10:RBM6	Brain_Spinal_cord_cervical_c-1	Liver	0.882
ENSG00000004534.10:RBM6	Brain_Substantia_nigra	Liver	0.875
ENSG00000004534.10:RBM6	Cells_EBV-transformed_lymphocytes	Liver	0.902
ENSG00000004534.10:RBM6	Brain_Amygdala	Muscle_Skeletal	0.874
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Muscle_Skeletal	0.907
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Muscle_Skeletal	0.936
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Muscle_Skeletal	0.910
ENSG00000004534.10:RBM6	Brain_Spinal_cord_cervical_c-1	Muscle_Skeletal	0.915
ENSG00000004534.10:RBM6	Brain_Substantia_nigra	Muscle_Skeletal	0.902
ENSG00000004534.10:RBM6	Cells_EBV-transformed_lymphocytes	Muscle_Skeletal	0.915
ENSG00000004534.10:RBM6	Liver	Muscle_Skeletal	0.944
ENSG00000004534.10:RBM6	Brain_Amygdala	Ovary	0.770
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Ovary	0.832
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Ovary	0.864
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Ovary	0.893
ENSG00000004534.10:RBM6	Brain_Spinal_cord_cervical_c-1	Ovary	0.906
ENSG00000004534.10:RBM6	Brain_Substantia_nigra	Ovary	0.826
ENSG00000004534.10:RBM6	Cells_EBV-transformed_lymphocytes	Ovary	0.793
ENSG00000004534.10:RBM6	Liver	Ovary	0.941
ENSG00000004534.10:RBM6	Muscle_Skeletal	Ovary	0.902
ENSG00000004534.10:RBM6	Brain_Amygdala	Prostate	0.847
ENSG00000004534.10:RBM6	Brain_Caudate_basal_ganglia	Prostate	0.787
ENSG00000004534.10:RBM6	Brain_Cerebellar_Hemisphere	Prostate	0.883
ENSG00000004534.10:RBM6	Brain_Frontal_Cortex_BA9	Prostate	0.775
ENSG00000004534.10:RBM6	Brain_Spinal_cord_cervical_c-1	Prostate	0.822
ENSG00000004534.10:RBM6	Brain_Substantia_nigra	Prostate	0.847
